Site_name,DBH,Height,Basal_area,LAI,Volume,ModisLAI,Landsat_LAI
Futululu_E6a,13.47261773,17.96,21.32288886,,139.7800656,,
Mavuya_B3a,15.3376669,20.37,27.99397363,,208.1365936,,
Mtubatuba_B003,12.95797799,14.15,17.06799594,,88.15193201,,
Nseleni_J006,17.29591199,26.6,34.21533605,,332.1966978,,
Nyalazi_B032,11.1942499,10.92,13.25706765,,52.84002026,,
Palmridge_C15a,13.90174706,17.5,22.70287371,,145.0146058,,
Salpine_F7,14.11993715,20.32,23.43238212,,173.7932917,,
Salpine_G22b,16.48984788,20.47,33.4364132,7.03,249.8218331,,
Salpine_G33b,14.89279586,21.18,25.07390777,8.17,193.8388588,,
Siyaqhubeka_A017,18.58817669,27.45,35.40535982,,354.7351514,,
Siyaqhubeka_B044,18.14435939,27.51,27.93026755,,280.4520061,,
Siyaqhubeka_F011A,19.45406297,23.05,32.28973411,,271.6616055,,
SouthAreas_B35b,16.12918244,22.8,29.04686245,,241.7279893,,
Terranera_B38,15.32366814,21.52,26.56300035,,208.6470552,,
Terranera_C55,19.2635422,23.86,37.61684043,,327.6013016,,
Trust_D13b,10.85753939,12.78,13.88813622,7.98,64.78398904,,
Trust_E23f,12.87280726,16.76,18.93057093,5.61,115.8058746,,
Trust_E24g,15.12333804,23.61,27.44387229,5.72,236.501686,,
